date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,Correction?
18/11/17,2561,new,1,,hemanta,1,8,15,30,0,mahanikaya,predicted,
3/12/17,2561,full,1,,hemanta,2,8,15,30,0,mahanikaya,predicted,
17/12/17,2561,new,2,,hemanta,3,8,14,29,0,mahanikaya,predicted,
1/1/18,2561,full,2,,hemanta,4,8,15,29,0,mahanikaya,predicted,
16/1/18,2561,new,3,,hemanta,5,8,15,30,0,mahanikaya,predicted,
31/1/18,2561,full,3,? magha,hemanta,6,8,15,30,0,mahanikaya,predicted,
14/2/18,2561,new,4,,hemanta,7,8,14,29,0,mahanikaya,predicted,
1/3/18,2561,full,4,? magha,hemanta,8,8,15,29,0,mahanikaya,predicted,
16/3/18,2561,new,5,,gimhana,1,10,15,30,0,mahanikaya,predicted,
31/3/18,2561,full,5,,gimhana,2,10,15,30,0,mahanikaya,predicted,
14/4/18,2561,new,6,,gimhana,3,10,14,29,0,mahanikaya,predicted,
29/4/18,2561,full,6,,gimhana,4,10,15,29,0,mahanikaya,predicted,
13/5/18,2561,new,7,,gimhana,5,10,15,30,0,mahanikaya,predicted,14/5/18
28/5/18,2561,full,7,visakha,gimhana,6,10,15,30,0,mahanikaya,predicted,29/5/18
12/6/18,2561,new,8,,gimhana,7,10,14,29,0,mahanikaya,predicted,
27/6/18,2561,full,8,,gimhana,8,10,15,29,0,mahanikaya,predicted,
11/7/18,2561,new,“8/8”,,gimhana,9,10,15,30,0,mahanikaya,predicted,12/7/18
26/7/18,2561,full,“8/8”,asalha,gimhana,10,10,15,30,0,mahanikaya,predicted,27/7/18
10/8/18,2561,new,9,,vassana,1,8,15,30,0,mahanikaya,predicted,11/8/18
25/8/18,2561,full,9,,vassana,2,8,15,30,0,mahanikaya,predicted,26/8/18
8/9/18,2561,new,10,,vassana,3,8,14,29,0,mahanikaya,predicted,9/9/18
23/9/18,2561,full,10,,vassana,4,8,15,29,0,mahanikaya,predicted,24/9/18
8/10/18,2561,new,11,,vassana,5,8,15,30,0,mahanikaya,predicted,9/10/18
23/10/18,2561,full,11,pavarana,vassana,6,8,15,30,0,mahanikaya,predicted,24/10/18
6/11/18,2561,new,12,,vassana,7,8,14,29,0,mahanikaya,predicted,7/11/18
21/11/18,2561,full,12,,vassana,8,8,15,29,0,mahanikaya,predicted,22/11/18
